symbol,quantity,cost,date
OMFGA,100,10.0,11/01/2024
GFGC,100,10.0,11/01/2024
EWST,100,10.0,11/01/2024
EGAS,100,10.0,11/01/2024
MBNC,100,10.0,11/01/2024
SABC,100,10.0,11/01/2024
BTFG,100,10.0,11/01/2024
GCBK,100,10.0,11/01/2024
WERC,100,10.0,11/01/2024
ACF,100,10.0,11/01/2024
SDIC,100,10.0,11/01/2024
SDICV,100,10.0,11/01/2024
SHRD,100,10.0,11/01/2024
GACO,100,10.0,11/01/2024
CAYB,100,10.0,11/01/2024
IROQ,100,10.0,11/01/2024
CBOT,100,10.0,11/01/2024
ATCE,100,10.0,11/01/2024
ATCS,100,10.0,11/01/2024
DPAC,100,10.0,11/01/2024
AAPI,100,10.0,11/01/2024
AJ,100,10.0,11/01/2024
AMFD,100,10.0,11/01/2024
FIGIA,100,10.0,11/01/2024
SCTTA,100,10.0,11/01/2024
SCTT,100,10.0,11/01/2024
CCUR,100,10.0,11/01/2024
DCIS,100,10.0,11/01/2024
IFRS,100,10.0,11/01/2024
KEYC,100,10.0,11/01/2024
BIRI,100,10.0,11/01/2024
DOCX,100,10.0,11/01/2024
AEPI,100,10.0,11/01/2024
JJSF,100,10.0,11/01/2024
TNII,100,10.0,11/01/2024
MINT,100,10.0,11/01/2024
DLS,100,10.0,11/01/2024
DGSE,100,10.0,11/01/2024
DGC,100,10.0,11/01/2024
ELA,100,10.0,11/01/2024
AIFS,100,10.0,11/01/2024
AIF,100,10.0,11/01/2024
ABK,100,10.0,11/01/2024
ANTQ,100,10.0,11/01/2024
PLXS,100,10.0,11/01/2024
MABK,100,10.0,11/01/2024
HCSB,100,10.0,11/01/2024
GGUY,100,10.0,11/01/2024
NURO,100,10.0,11/01/2024
FSLA,100,10.0,11/01/2024
FSVB,100,10.0,11/01/2024
FBCP,100,10.0,11/01/2024
POCI,100,10.0,11/01/2024
XIOX,100,10.0,11/01/2024
ATCM,100,10.0,11/01/2024
HARVY,100,10.0,11/01/2024
GGGG,100,10.0,11/01/2024
CYNR,100,10.0,11/01/2024
CAU,100,10.0,11/01/2024
AATI,100,10.0,11/01/2024
RMCF,100,10.0,11/01/2024
OLVR,100,10.0,11/01/2024
CPUIA,100,10.0,11/01/2024
MENU,100,10.0,11/01/2024
FOAM,100,10.0,11/01/2024
LMNT,100,10.0,11/01/2024
CCCO,100,10.0,11/01/2024
CTY,100,10.0,11/01/2024
CTYA,100,10.0,11/01/2024
ABLD,100,10.0,11/01/2024
ABCC,100,10.0,11/01/2024
SEQL,100,10.0,11/01/2024
HOGG,100,10.0,11/01/2024
HNGR,100,10.0,11/01/2024
HGR,100,10.0,11/01/2024
VLVL,100,10.0,11/01/2024
CDNI,100,10.0,11/01/2024
BNUI,100,10.0,11/01/2024
