symbol,quantity,cost,date
ZS,100,10.0,11/01/2024
DBX,100,10.0,11/01/2024
RDVT,100,10.0,11/01/2024
RFL,100,10.0,11/01/2024
AIHS,100,10.0,11/01/2024
BILI,100,10.0,11/01/2024
HAT,100,10.0,11/01/2024
MPI,100,10.0,11/01/2024
BACO,100,10.0,11/01/2024
BTAI,100,10.0,11/01/2024
BWB,100,10.0,11/01/2024
COCP,100,10.0,11/01/2024
DINT,100,10.0,11/01/2024
DNJR,100,10.0,11/01/2024
BTBT,100,10.0,11/01/2024
BEDF,100,10.0,11/01/2024
TH,100,10.0,11/01/2024
FIXX,100,10.0,11/01/2024
FNCB,100,10.0,11/01/2024
GNPX,100,10.0,11/01/2024
GPAQ,100,10.0,11/01/2024
HOFV,100,10.0,11/01/2024
BHAM,100,10.0,11/01/2024
BHAY,100,10.0,11/01/2024
BECHY,100,10.0,11/01/2024
LAZY,100,10.0,11/01/2024
MUDS,100,10.0,11/01/2024
HYMC,100,10.0,11/01/2024
NEBU,100,10.0,11/01/2024
LPRO,100,10.0,11/01/2024
OPBK,100,10.0,11/01/2024
OPES,100,10.0,11/01/2024
BFI,100,10.0,11/01/2024
UMRX,100,10.0,11/01/2024
COGT,100,10.0,11/01/2024
VTSI,100,10.0,11/01/2024
RCUS,100,10.0,11/01/2024
PPTY,100,10.0,11/01/2024
MXDE,100,10.0,11/01/2024
BDRY,100,10.0,11/01/2024
GHG,100,10.0,11/01/2024
ONE,100,10.0,11/01/2024
AIU,100,10.0,11/01/2024
STG,100,10.0,11/01/2024
LTN,100,10.0,11/01/2024
BIOX,100,10.0,11/01/2024
ZUO,100,10.0,11/01/2024
DTEC,100,10.0,11/01/2024
PRNT,100,10.0,11/01/2024
IZRL,100,10.0,11/01/2024
GOP,100,10.0,11/01/2024
DEMS,100,10.0,11/01/2024
TAXR,100,10.0,11/01/2024
PLCY,100,10.0,11/01/2024
QVAL,100,10.0,11/01/2024
IVAL,100,10.0,11/01/2024
IMOM,100,10.0,11/01/2024
QMOM,100,10.0,11/01/2024
VMOT,100,10.0,11/01/2024
PFV,100,10.0,11/01/2024
YESR,100,10.0,11/01/2024
DIVO,100,10.0,11/01/2024
