symbol,quantity,cost,date
ANH,100,10.0,11/01/2024
OPW,100,10.0,11/01/2024
DSU,100,10.0,11/01/2024
BECR,100,10.0,11/01/2024
DHCP,100,10.0,11/01/2024
BBUY,100,10.0,11/01/2024
BBY,100,10.0,11/01/2024
MUC,100,10.0,11/01/2024
MUH,100,10.0,11/01/2024
MUJ,100,10.0,11/01/2024
ONX,100,10.0,11/01/2024
BING,100,10.0,11/01/2024
BSBN,100,10.0,11/01/2024
ILC,100,10.0,11/01/2024
RLT,100,10.0,11/01/2024
RBA,100,10.0,11/01/2024
SRK,100,10.0,11/01/2024
VL,100,10.0,11/01/2024
YZC,100,10.0,11/01/2024
PRHC,100,10.0,11/01/2024
PFA,100,10.0,11/01/2024
MFA,100,10.0,11/01/2024
FMA,100,10.0,11/01/2024
WEH,100,10.0,11/01/2024
RLH,100,10.0,11/01/2024
CPV,100,10.0,11/01/2024
DHF,100,10.0,11/01/2024
IOX,100,10.0,11/01/2024
LHO,100,10.0,11/01/2024
NEPF,100,10.0,11/01/2024
OME,100,10.0,11/01/2024
SOFO,100,10.0,11/01/2024
ZD,100,10.0,11/01/2024
BGNX,100,10.0,11/01/2024
ADPI,100,10.0,11/01/2024
ALREF,100,10.0,11/01/2024
ALRE,100,10.0,11/01/2024
ARMHY,100,10.0,11/01/2024
ARMH,100,10.0,11/01/2024
INGE,100,10.0,11/01/2024
BRCM,100,10.0,11/01/2024
BTSR,100,10.0,11/01/2024
BSTL,100,10.0,11/01/2024
CDSC,100,10.0,11/01/2024
CFKY,100,10.0,11/01/2024
CHAS,100,10.0,11/01/2024
PAET,100,10.0,11/01/2024
CRAI,100,10.0,11/01/2024
BBPI,100,10.0,11/01/2024
DACG,100,10.0,11/01/2024
DEAR,100,10.0,11/01/2024
FRIZ,100,10.0,11/01/2024
FTBK,100,10.0,11/01/2024
FVCX,100,10.0,11/01/2024
FVCC,100,10.0,11/01/2024
BORO,100,10.0,11/01/2024
INDT,100,10.0,11/01/2024
HBSC,100,10.0,11/01/2024
HKID,100,10.0,11/01/2024
HMPS,100,10.0,11/01/2024
HRVE,100,10.0,11/01/2024
IAABY,100,10.0,11/01/2024
IAAB,100,10.0,11/01/2024
INRB,100,10.0,11/01/2024
JADEF,100,10.0,11/01/2024
LVLT,100,10.0,11/01/2024
NBCP,100,10.0,11/01/2024
FNFG,100,10.0,11/01/2024
NOVB,100,10.0,11/01/2024
OWWI,100,10.0,11/01/2024
POVT,100,10.0,11/01/2024
RFGI,100,10.0,11/01/2024
ROLL,100,10.0,11/01/2024
BRLY,100,10.0,11/01/2024
UMPQ,100,10.0,11/01/2024
UNNL,100,10.0,11/01/2024
UPFC,100,10.0,11/01/2024
FCCG,100,10.0,11/01/2024
WWVY,100,10.0,11/01/2024
WVT,100,10.0,11/01/2024
ALTV,100,10.0,11/01/2024
EQY,100,10.0,11/01/2024
BTSB,100,10.0,11/01/2024
LCP,100,10.0,11/01/2024
OTL,100,10.0,11/01/2024
IOSP,100,10.0,11/01/2024
RZT,100,10.0,11/01/2024
RBO,100,10.0,11/01/2024
HIX,100,10.0,11/01/2024
TDR,100,10.0,11/01/2024
YNR,100,10.0,11/01/2024
CVOL,100,10.0,11/01/2024
HDWR,100,10.0,11/01/2024
BLAN,100,10.0,11/01/2024
AMCT,100,10.0,11/01/2024
AMKR,100,10.0,11/01/2024
